id	Proteínas	Carboidratos	Fibra Alimentar	Cálcio	Magnésio	Manganês	Fósforo	Ferro	Sódio	Zinco
9	0.7	1.5	0.0	3	10	0.04	9	0.0	1	0.0
1	0.0	0.4	0.0	2	1	0.01	1	0.0	1	0.0
3	0.0	0.6	0.0	1	2	0.27	0	0.0	0	0.0
2	0.0	0.6	0.0	0	1	0.09	2	0.0	0	0.0
22	0.0	5.3	0.1	19	5	0.25	4	0.0	2	0.0
31	0.0	8.0	0.0	1	0	0.00	0	0.0	8	0.0
34	0.0	8.7	0.0	1	0	0.00	17	0.0	7	0.0
39	0.0	10.0	0.0	1	0	0.00	0	0.0	9	0.0
46	0.0	11.8	0.0	2	1	0.00	1	0.0	9	0.0
40	0.0	10.3	0.0	2	1	0.00	0	0.0	9	0.0
55	2.1	7.6	0.3	89	9	0.00	63	0.0	46	0.2
66	3.1	5.2	0.0	112	10	0.00	113	0.1	74	0.4
83	2.1	14.2	0.6	70	13	0.05	71	0.5	72	0.3
362	34.7	53.0	0.0	1363	109	0.00	1673	0.9	432	3.8
497	25.4	39.2	0.0	890	77	0.00	1242	0.5	323	2.7
70	1.9	15.7	0.0	72	6	0.02	63	0.0	33	0.3
55	2.1	7.6	0.3	89	9	0	63	0	46	0.2
51	4.1	1.9	0	143	11	0	119	0	52	0.4
41	3.8	5.8	0	157	12	0	110	0	60	0.5
70	2.7	9.7	0.2	101	8	0	73	0	38	0.3
68	2.5	9.4	0.7	95	8	0	66	0.1	37	0.3
45	0.4	10.7	0.6	1	8	0.06	11	0.1	45	0.1
37	0.7	8.7	0	6	8	0.02	22	0.1	0	0
41	0.7	9.6	1.0	13	10	0.02	15	0.1	0	0.1
39	0.7	9.2	0.4	8	11	0.02	16	0	0	0.0
33	0.7	7.6	0	7	8	0.03	14	0	0	0
36	0.5	8.6	0.4	9	10	0.03	17	0	0	0
14	0.3	5.2	0	10	9	0.03	11	0.1	0	0
22	0.6	7.3	0	5	6	0.01	13	0.1	0	0.1
42	0.8	9.6	0.4	4	4	0.07	14	0.3	22	0.1
36	0.5	8.8	0	4	6	0.02	9	0	0	0
58	0	14.7	0.2	9	7	0.20	10	0.1	10	0.1
96	1.2	6.0	6.3	8	15	0.17	22	0.2	0	0.2
48	0.9	12.3	1.0	22	18	1.62	13	0.3	0	0.1
62	0.8	14.9	1.7	6	9	0.08	20	0.2	0	0.1
33	0.9	8.0	1.5	13	13	0.07	9	0.2	0	0.1
53	0.8	13.9	2.4	6	5	0.03	14	0.1	0	0.1
97	1.0	25.3	2.1	23	25	0.16	23	0.2	1	0.2
128	1.4	33.7	1.5	4	24	0.16	26	0.3	0	0.2
105	1.1	27.8	2.8	6	30	0.21	16	0.2	0	0.1
